File,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
201,6,2,2,7,4,5,4,0,13,9,0.66,0,72,2,0,6,1,4.11764705882353,1,1,1,1.22727272727273,0.0,0,2,2,False
202,5,0,2,2,2,9,1,1,1,3,0.65,3,81,1,0,0,1,3.11111111111111,1,2,1,2.27272727272727,0.0,0,2,1,False
203,1,0,2,1,1,9,1,1,6,2,1.02,1,67,3,0,2,1,4.75,3,1,1,1.5,0.0,0,2,1,False
204,10,1,1,2,4,1,3,0,4,5,0.56,1,88,2,0,21,2,3.3125,0,0,1,2.0,1.0,0,2,4,True
205,8,0,1,1,3,1,1,0,0,2,0.24,1,90,2,0,9,1,3.5,1,1,1,2.91666666666667,0.0,0,2,2,False
206,0,0,1,0,1,8,1,0,2,3,0.63,2,33,1,0,8,1,6.33333333333333,3,3,1,4.66666666666667,0.0,0,1,1,False
207,3,0,1,5,0,4,1,0,3,5,1.01,0,68,2,0,1,1,5.25,2,2,1,1.18181818181818,1.0,0,1,2,False
208,1,2,1,1,2,0,3,1,2,1,0.35,0,50,2,0,6,1,2.8,1,1,1,1.0,0.0,0,1,1,False
209,0,0,1,0,1,0,1,0,0,1,0.78,4,0,1,0,4,1,2.0,2,7,4,1.0,0.0,0,2,0,False
210,0,0,1,0,1,8,1,0,2,3,0.59,2,33,1,0,7,1,5.66666666666667,3,3,1,3.8,0.0,0,2,1,False
211,0,0,1,0,0,8,1,0,12,9,1.13,0,77,3,1,0,1,4.66666666666667,1,1,1,0.454545454545455,0.0,0,1,2,False
212,0,0,2,0,0,17,1,4,0,1,0.65,2,0,2,0,5,1,2.8,2,2,1,2.125,1.0,0,1,3,False
213,0,10,1,0,0,5,1,0,0,0,5.38,0,0,0,1,0,0,2.0,0,0,1,0.461538461538462,0.0,0,1,0,False
214,1,0,1,0,0,0,1,0,6,13,0.4,0,70,1,0,0,2,2.07142857142857,0,1,1,0.5,0.0,0,1,1,False
215,0,0,2,0,0,7,1,1,5,4,0.63,0,56,2,0,1,1,5.2,2,2,1,1.57142857142857,0.0,0,1,0,False
216,11,0,2,11,3,3,4,9,32,33,0.26,0,100,2,1,28,2,5.54716981132075,0,0,1,1.29310344827586,0.0,0,1,1,False
217,0,0,0,0,0,0,1,0,36,0,0.01,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,1,0,False
218,27,0,5,8,1,0,1,1,11,7,0.0,0,87,1,0,3,2,4.8,1,1,1,1.64864864864865,0.0,0,1,0,False
219,0,0,1,0,1,7,1,0,8,2,2.74,0,93,1,0,0,1,1.5,1,1,1,0.75,0.0,0,1,0,False
220,0,0,1,4,2,4,1,2,1,4,0.67,0,96,2,0,0,1,3.5,0,1,1,1.125,0.0,0,1,0,False
221,0,0,1,3,0,0,5,0,1,10,0.23,2,45,2,0,15,2,2.7,1,0,1,0.625,0.0,0,1,0,False
222,1,0,1,1,0,0,1,0,6,6,0.21,2,32,2,0,20,1,5.71428571428571,2,2,1,0.333333333333333,0.5,0,3,1,False
223,0,0,1,0,0,2,2,0,0,4,0.21,8,0,2,0,3,2,0.25,0,2,1,0.714285714285714,0.0,0,1,1,False
224,0,0,1,3,0,0,5,0,1,9,0.24,2,55,2,0,15,2,2.44444444444444,1,0,1,0.6,0.0,0,1,1,False
225,1,0,1,0,0,0,2,0,9,7,0.25,0,61,2,0,6,1,3.0,0,1,1,0.545454545454545,0.0,0,2,0,False
226,0,0,1,1,0,1,4,2,4,32,0.17,0,94,3,0,18,1,2.02941176470588,0,1,1,0.538461538461538,0.0,0,1,2,False
227,1,0,1,0,0,2,1,0,3,5,0.29,1,16,2,0,4,1,7.33333333333333,3,2,1,2.66666666666667,1.0,0,2,0,False
228,0,0,1,0,0,2,3,0,3,5,0.93,3,22,2,0,4,2,2.8,0,1,1,0.333333333333333,0.0,0,2,1,False
229,2,0,2,4,1,1,1,0,3,12,0.28,0,71,2,0,4,1,3.42857142857143,1,1,1,1.3125,1.0,0,1,0,False
230,0,0,1,0,0,4,1,0,2,3,1.8,0,33,1,0,2,2,5.33333333333333,2,1,1,0.0,0.0,0,2,0,False
231,1,0,1,1,0,2,6,1,14,13,0.36,0,73,3,0,19,2,3.66666666666667,0,1,1,1.0,0.0,0,2,0,False
232,6,2,1,10,1,6,3,1,13,30,1.14,0,93,2,0,23,1,2.66666666666667,1,1,1,0.75,1.0,0,1,1,False
233,0,0,1,0,0,0,1,0,8,19,0.29,0,81,2,0,5,1,1.89473684210526,1,1,1,0.142857142857143,0.0,0,2,0,False
234,1,0,3,0,1,21,1,0,0,1,1.34,0,0,1,0,10,1,2.5,0,1,1,1.5,0.0,0,2,1,False
235,0,0,2,0,0,1,1,0,1,4,0.64,0,0,2,0,3,1,2.25,1,1,1,1.33333333333333,0.0,0,2,0,False
236,3,0,1,0,0,0,1,1,2,9,0.13,0,57,2,0,16,1,3.92307692307692,1,2,1,0.0,0.0,0,2,0,False
237,1,0,1,1,0,1,1,2,4,5,0.19,0,40,2,0,15,1,4.25,2,3,1,1.1,1.0,0,1,0,False
238,0,0,2,0,0,0,1,0,1,5,0.81,0,0,1,0,1,2,1.4,1,1,1,0.625,0.0,0,2,0,False
239,0,0,2,0,0,0,1,0,1,5,0.96,0,19,1,0,0,2,1.2,0,1,1,0.428571428571429,0.0,0,2,0,False
240,0,3,1,0,0,6,1,0,0,0,6.33,0,0,0,2,0,0,1.0,1,0,1,0.0,0.0,0,2,0,False
241,0,0,2,0,0,1,1,1,1,5,0.97,0,16,3,0,6,2,2.33333333333333,1,1,1,0.375,0.0,0,2,0,False
242,0,2,1,0,0,0,1,0,0,0,3.8,0,0,0,2,1,0,0.0,0,0,1,0.0,0.0,0,2,0,False
243,0,0,1,0,0,0,1,1,4,4,0.61,0,55,3,0,3,1,2.0,0,1,1,1.0,0.0,0,2,0,False
244,0,0,1,0,0,0,1,0,2,11,0.31,0,40,3,0,13,2,1.63636363636364,0,1,1,0.307692307692308,0.0,0,1,1,False
245,0,0,1,0,1,0,1,0,0,1,2.71,0,0,1,0,0,1,3.0,3,2,1,0.0,0.0,0,2,0,False
246,3,0,1,0,0,0,1,0,2,8,0.24,0,72,2,0,16,1,2.09090909090909,0,2,1,0.307692307692308,0.0,0,2,0,False
247,0,0,1,0,0,4,1,0,0,1,0.61,1,0,2,0,13,1,2.0,2,15,1,0.0,0.0,0,2,0,False
248,0,0,1,0,0,1,1,0,6,1,0.82,0,0,1,0,1,1,5.0,5,10,3,2.5,0.0,0,2,0,False
249,6,0,7,2,0,10,1,0,5,1,0.24,0,71,2,0,1,1,5.42857142857143,3,3,1,2.7,0.0,0,1,0,False
250,10,0,10,3,0,14,1,0,9,1,0.26,0,83,2,0,1,1,5.0,3,1,1,3.23076923076923,0.0,0,1,0,False
251,16,0,10,3,0,14,1,0,13,1,0.25,0,89,2,0,1,1,4.70588235294118,3,1,1,3.26315789473684,0.0,0,1,0,False
252,12,0,10,4,0,14,1,0,14,1,0.23,0,85,2,0,1,1,5.46153846153846,1,1,1,2.73333333333333,0.0,0,1,0,False
253,13,0,13,2,0,21,1,0,11,1,0.26,0,85,2,0,1,1,4.71428571428571,3,1,1,4.0625,0.0,0,1,0,False
254,7,0,12,3,0,16,1,0,8,1,0.25,0,81,2,0,1,1,4.5,3,1,1,3.8,0.0,0,1,0,False
255,7,0,11,3,0,15,1,0,7,1,0.25,0,81,2,0,1,1,4.375,3,1,1,3.8,0.0,0,1,0,False
256,11,0,12,3,0,16,1,0,11,1,0.21,0,86,2,0,1,1,4.33333333333333,3,1,1,3.57142857142857,0.0,0,1,0,False
257,17,0,17,4,0,27,1,0,15,1,0.31,0,88,2,0,1,1,5.27777777777778,3,2,1,3.35,0.0,0,1,0,False
258,33,0,5,0,0,8,1,0,4,1,0.19,0,97,2,0,1,1,3.05882352941176,1,1,1,2.08333333333333,0.0,0,2,0,False
259,5,0,6,2,0,8,1,0,4,1,0.22,0,72,2,0,1,1,4.83333333333333,2,2,1,1.875,0.0,0,1,0,False
260,12,0,10,2,0,13,1,0,9,1,0.25,0,86,2,0,1,1,4.23076923076923,2,1,1,2.6,0.0,0,1,0,False
261,11,0,11,1,0,15,1,0,12,1,0.21,0,87,2,0,1,1,4.25,3,1,1,3.71428571428571,0.0,0,1,1,False
262,11,0,7,1,0,9,1,0,10,1,0.2,0,88,2,0,1,1,3.41666666666667,3,1,1,2.78571428571429,0.0,0,1,0,False
263,11,0,12,1,0,17,1,0,13,1,0.22,0,86,2,0,1,1,4.33333333333333,3,1,1,3.5,0.0,0,1,0,False
264,5,0,6,2,0,8,1,0,4,1,0.21,0,72,2,0,1,1,4.83333333333333,2,2,1,1.875,0.0,0,1,0,False
265,0,0,3,0,0,0,1,25,6,2,0.21,0,58,1,16,1,1,19.3703703703704,0,1,1,0.931034482758621,0.0,0,1,1,False
266,1,0,1,0,2,0,1,0,0,1,0.26,4,0,1,0,1,1,1.5,1,2,1,3.0,0.0,0,3,0,False
267,0,0,1,0,0,1,1,0,2,3,1.04,0,33,2,0,6,1,2.66666666666667,2,2,1,0.666666666666667,0.0,0,3,0,False
268,0,0,1,1,0,3,1,0,2,2,0.74,0,16,3,0,2,1,5.5,5,8,2,1.0,0.0,0,3,0,False
269,0,0,1,0,0,0,2,0,0,4,1.29,0,0,2,0,5,2,1.25,0,1,1,0.428571428571429,0.0,0,2,0,False
270,0,1,1,0,0,4,1,0,0,0,5.4,0,0,0,2,0,0,1.0,1,1,1,0.75,1.0,0,4,1,False
271,0,1,2,0,0,0,2,0,5,5,0.47,1,50,1,0,4,2,4.5,0,0,1,0.555555555555556,1.0,0,5,1,False
272,0,0,1,0,0,0,2,1,3,6,0.71,0,75,1,0,1,2,1.28571428571429,0,0,1,0.4,1.0,0,5,1,False
273,7,0,2,1,5,7,1,1,6,8,0.77,1,84,1,0,22,1,4.9375,1,1,1,1.22222222222222,1.0,0,3,3,True
274,0,0,5,0,0,2,1,0,3,1,1.52,2,33,1,0,0,1,4.0,4,1,5,1.0,1.0,0,3,2,False
275,0,1,1,0,0,0,1,1,0,0,1.54,0,0,2,0,1,1,2.0,2,2,1,0.0,1.0,0,3,1,False
276,2,0,2,0,2,4,1,0,3,2,0.66,4,58,1,0,0,1,4.25,3,1,1,1.83333333333333,0.0,0,1,2,False
277,0,0,1,0,0,0,1,0,4,7,0.2,3,17,2,0,11,1,3.71428571428571,3,7,1,1.11111111111111,0.0,0,1,0,False
278,0,0,1,0,0,0,1,0,0,1,1.11,0,0,2,0,3,1,1.0,1,6,1,0.0,0.0,0,1,0,False
279,2,0,1,0,0,2,1,1,3,1,0.41,4,41,2,0,13,1,3.25,2,3,1,0.5,1.0,0,4,1,True
280,0,10,1,0,0,5,1,0,0,0,5.38,0,0,0,1,0,0,1.4,0,0,1,0.461538461538462,0.0,0,1,0,False
281,1,0,1,0,0,0,1,0,6,13,0.4,0,70,1,0,0,2,2.07142857142857,0,1,1,0.5,0.0,0,1,1,False
282,0,0,2,0,0,7,1,1,5,4,0.63,0,56,2,0,1,1,5.2,2,2,1,1.57142857142857,0.0,0,1,0,False
283,9,0,2,1,4,0,3,12,34,25,0.06,0,91,2,0,17,2,5.39130434782609,0,0,1,1.42,0.0,0,1,0,False
284,0,0,0,0,0,0,1,0,26,0,0.02,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,1,0,False
285,15,0,5,8,1,0,1,1,11,7,0.0,0,88,1,0,3,2,4.34782608695652,1,1,1,1.48,0.0,0,1,0,False
286,0,0,1,0,0,0,1,0,0,2,1.31,0,0,3,0,5,1,3.5,3,2,1,1.0,0.0,0,2,0,False
287,1,0,1,0,0,0,1,0,2,6,0.8,0,57,1,0,4,1,2.28571428571429,0,1,1,0.333333333333333,0.0,0,2,0,False
288,0,0,1,0,0,0,1,6,3,9,0.28,0,82,2,4,1,1,3.0,0,1,1,0.764705882352941,0.0,0,2,0,False
289,0,0,2,0,0,0,2,0,2,9,0.24,0,71,3,0,6,2,2.66666666666667,0,1,1,1.0,0.0,0,2,0,False
290,0,2,1,0,0,2,1,0,0,0,3.5,0,0,0,3,1,0,2.0,2,0,1,0.0,0.0,0,2,0,False
291,0,0,1,0,0,0,1,1,4,8,0.36,0,63,2,0,4,1,2.77777777777778,0,1,1,0.636363636363636,0.0,0,2,0,False
292,0,0,1,0,0,1,1,0,0,2,1.12,0,0,3,0,6,1,3.5,3,2,1,0.0,0.0,0,2,0,False
293,0,0,2,0,0,0,1,0,0,4,0.47,0,0,3,0,6,2,2.25,0,2,1,1.66666666666667,0.0,0,2,0,False
294,0,2,1,0,0,0,5,1,1,14,0.27,0,83,2,3,6,3,1.76470588235294,0,0,1,0.130434782608696,0.0,0,2,0,False
295,0,0,1,0,0,0,1,1,4,10,0.69,0,72,1,0,10,1,3.27272727272727,1,1,1,0.384615384615385,0.0,0,1,1,False
296,0,0,1,0,2,0,1,0,0,2,0.64,0,0,1,0,3,1,5.0,5,3,2,1.0,0.0,0,2,0,False
297,0,0,1,0,0,0,1,1,2,6,0.36,0,71,3,0,4,1,2.28571428571429,0,1,1,1.0,0.0,0,2,0,False
298,0,0,1,1,0,0,2,1,2,14,0.41,0,88,1,3,2,2,1.93333333333333,0,0,1,0.277777777777778,0.0,0,2,1,False
299,0,0,1,0,0,0,1,0,1,5,0.5,0,60,3,0,4,1,2.4,0,1,1,0.857142857142857,0.0,0,2,1,False
300,0,0,1,0,0,0,1,3,5,4,0.21,0,62,3,0,4,1,3.14285714285714,0,1,1,1.88888888888889,0.0,0,2,0,False
301,0,0,1,0,0,0,1,0,0,1,2.43,0,0,2,0,0,1,2.0,2,1,1,0.0,0.0,0,2,0,False
302,0,2,1,0,0,0,2,0,9,4,0.27,0,42,2,0,8,1,6.0,3,1,1,0.888888888888889,0.0,0,3,0,False
303,0,0,1,0,1,0,1,0,2,3,0.39,0,33,1,0,3,1,4.33333333333333,3,3,1,1.4,0.0,0,3,0,False
304,0,3,1,0,0,0,1,0,3,1,0.48,0,50,1,0,9,1,3.25,1,1,1,1.0,0.0,0,2,0,False
305,0,0,1,0,1,0,1,0,3,2,0.42,0,66,2,0,1,1,1.5,1,1,1,0.75,0.0,0,2,1,False
306,0,0,1,0,1,0,1,0,5,25,0.17,0,96,2,0,3,1,1.2,0,1,1,0.0,0.0,0,2,1,False
307,0,0,1,0,1,0,1,0,8,44,0.1,0,97,2,0,4,1,1.25,0,1,1,0.0652173913043478,0.0,0,2,1,False
308,7,0,1,2,0,2,2,0,6,9,0.65,0,72,2,0,16,2,4.4375,0,1,1,0.85,0.0,0,1,2,False
309,5,0,1,1,0,3,2,0,6,14,0.89,0,75,2,0,16,2,4.31578947368421,1,1,1,0.818181818181818,0.0,0,1,3,False
310,0,0,1,0,0,0,1,0,1,5,0.69,0,0,2,0,0,1,5.0,2,2,1,0.428571428571429,0.0,0,1,0,False
311,0,0,2,0,0,0,1,0,2,10,0.39,0,60,2,0,1,1,2.9,0,0,1,0.333333333333333,0.0,0,1,0,False
312,1,0,1,19,2,0,1,0,0,1,0.11,0,94,1,0,1,1,4.0,1,2,1,0.0,0.0,0,1,1,False
313,0,0,1,0,1,0,2,0,0,5,0.33,2,0,1,0,3,2,1.4,0,1,1,0.0,0.0,0,2,0,False
314,0,0,1,0,0,0,1,0,8,17,0.29,0,88,1,0,0,1,1.70588235294118,0,1,1,0.0,0.0,0,1,0,False
315,0,0,1,0,1,0,2,0,0,3,0.4,4,0,1,0,3,2,2.33333333333333,0,1,1,0.0,0.0,0,1,0,False
316,0,0,1,0,0,0,1,1,3,2,0.78,0,22,2,0,3,1,2.66666666666667,2,3,1,0.0,0.0,0,2,0,False
317,0,0,1,0,0,0,1,1,3,3,0.62,0,25,2,0,3,1,2.5,2,3,1,0.0,0.0,0,2,0,False
318,0,0,1,0,0,1,1,1,2,1,1.17,0,0,2,0,3,1,1.5,1,4,1,0.0,0.0,0,1,1,False
319,0,0,1,0,0,1,1,1,2,1,1.17,0,0,2,0,3,1,1.5,1,4,1,0.0,0.0,0,1,0,False
320,0,0,1,0,0,0,1,1,4,4,0.38,0,19,2,0,4,1,3.0,3,4,1,0.0,0.0,0,1,0,False
321,0,1,1,10,0,1,1,0,1,4,0.93,0,94,3,0,2,1,3.2,1,1,1,0.875,1.0,0,1,0,True
322,11,3,5,45,9,5,1,0,18,11,0.28,0,93,1,0,2,1,4.28,1,0,1,0.925925925925926,1.0,0,1,0,True
323,0,0,1,0,0,4,1,2,0,4,0.25,2,0,2,0,2,1,2.0,0,0,1,0.75,1.0,0,1,0,False
324,0,0,1,0,2,17,1,0,0,2,0.77,5,0,1,0,16,1,6.0,2,8,2,4.2,0.0,0,2,1,False
325,0,0,1,0,2,8,1,0,0,2,0.44,6,0,1,0,15,1,6.5,4,11,12,4.25,0.0,0,3,0,False
326,4,0,2,5,5,11,1,0,0,1,0.61,3,72,1,0,7,1,5.2,2,1,1,2.14285714285714,0.0,0,3,2,False
327,0,0,1,0,0,0,1,0,1,2,0.63,1,0,1,0,7,2,2.0,2,2,1,2.0,0.0,0,1,0,False
328,0,1,1,0,1,0,1,0,1,2,0.37,1,33,1,0,6,2,3.33333333333333,2,2,1,2.8,0.0,0,1,0,False
329,0,0,1,0,0,0,1,0,2,2,0.55,2,25,1,0,4,2,2.5,2,2,1,0.0,0.0,0,1,0,False
330,0,0,1,0,0,1,2,1,5,3,0.51,1,12,2,0,10,2,3.0,1,2,1,0.428571428571429,0.0,0,1,0,False
331,0,0,1,0,0,0,1,0,1,2,0.7,1,0,1,0,5,2,2.0,2,2,1,0.0,0.0,0,1,0,False
332,0,0,1,0,0,0,1,0,0,1,0.47,1,0,1,0,4,2,5.0,5,8,9,1.0,1.0,0,1,0,False
333,0,0,1,0,0,0,1,0,2,2,0.86,1,0,1,0,6,2,3.0,3,3,1,0.0,0.0,0,1,0,False
334,0,0,1,0,0,0,1,0,5,2,0.41,1,40,1,0,5,2,4.0,2,2,1,0.75,0.0,0,1,0,False
335,0,0,1,0,0,2,1,0,5,2,0.42,2,30,1,0,7,2,5.5,3,3,1,3.0,0.0,0,1,0,False
336,0,0,1,0,0,0,1,0,0,1,1.23,0,0,1,0,3,2,0.0,0,2,1,0.0,0.0,0,1,0,False
337,0,0,1,0,0,0,1,0,0,1,1.29,2,0,1,0,4,2,1.0,1,5,1,0.0,0.0,0,1,0,False
338,0,0,1,0,0,0,1,0,0,1,1.45,0,0,1,6,2,2,1.0,1,2,1,0.0,0.0,0,1,0,False
339,0,0,1,0,0,0,1,0,1,2,0.67,1,0,2,0,5,1,2.0,2,2,1,0.0,0.0,0,1,0,False
340,0,0,1,0,0,0,1,0,1,2,0.48,0,0,2,0,4,1,2.5,2,2,1,1.5,0.0,0,1,0,False
341,0,0,1,0,0,1,1,0,1,2,0.7,2,0,2,0,5,1,2.0,2,2,1,0.0,0.0,0,1,0,False
342,0,0,1,0,0,0,1,0,1,2,0.48,0,0,2,0,5,1,2.5,2,2,1,1.5,0.0,0,1,0,False
343,0,0,1,0,0,1,1,0,1,2,0.4,0,0,2,0,10,1,2.0,2,2,1,1.5,0.0,0,1,0,False
344,0,0,1,0,0,0,1,0,0,1,2.38,0,0,1,2,2,1,6.0,6,1,1,0.0,0.0,0,1,0,False
345,0,0,1,0,0,0,1,0,1,3,0.76,0,33,1,0,3,2,2.66666666666667,1,1,1,0.6,0.0,0,1,0,False
346,0,0,1,0,0,0,1,0,0,1,0.89,2,0,2,0,6,1,1.0,1,7,1,0.0,0.0,0,1,0,False
347,0,0,1,0,0,0,1,0,0,1,1.12,3,0,1,0,5,2,1.0,1,7,1,0.0,0.0,0,1,0,False
348,0,0,1,0,0,2,1,0,1,2,0.55,0,0,1,0,8,2,2.5,2,2,1,2.25,0.0,0,1,0,False
349,0,0,1,0,0,0,1,0,1,2,0.4,2,0,1,0,11,2,3.0,2,2,1,2.25,0.0,0,1,0,False
350,0,0,1,0,0,1,1,0,1,2,1.04,0,0,1,0,5,2,2.5,2,2,1,0.75,0.0,0,1,0,False
351,1,0,1,1,1,0,1,0,4,5,0.2,1,73,1,1,23,2,3.33333333333333,2,1,1,0.555555555555556,0.0,0,1,0,False
352,0,0,1,0,0,0,1,0,0,1,0.7,1,0,2,0,10,1,6.0,6,9,1,0.0,1.0,0,1,0,False
353,1,0,1,0,17,0,1,0,0,16,0.16,0,0,1,0,1,1,6.0,2,3,1,1.26315789473684,0.0,0,1,1,False
354,0,0,1,0,0,0,1,0,0,1,3.67,0,0,0,6,2,0,3.0,3,1,1,0.0,0.0,0,1,0,False
355,0,0,1,0,0,0,1,0,1,3,0.96,0,0,1,0,2,2,4.0,2,1,1,0.6,0.0,0,1,0,False
356,0,0,1,0,0,3,1,0,0,4,2.33,0,0,2,0,0,1,4.5,0,1,1,0.0,0.0,0,1,0,False
357,0,0,1,0,0,0,1,0,0,1,3.5,0,0,0,13,2,0,5.0,5,1,1,0.0,0.0,0,1,0,False
358,0,0,1,0,0,0,1,0,1,3,0.96,0,0,1,0,2,2,4.0,3,1,1,0.6,0.0,0,1,0,False
359,0,0,1,2,8,1,1,0,2,16,0.37,0,82,1,0,1,1,3.0,1,1,1,0.333333333333333,0.0,0,1,0,False
360,2,0,1,1,0,0,1,2,5,16,0.17,0,89,2,0,18,1,2.4,0,2,1,0.409090909090909,1.0,0,1,1,False
361,0,2,1,0,0,2,1,2,5,1,0.39,2,68,2,0,17,1,2.8,1,1,1,1.42857142857143,0.0,0,1,0,False
362,1,0,1,0,1,4,1,0,0,1,0.93,2,0,1,0,4,1,1.5,0,1,1,1.6,0.0,0,4,2,False
363,1,0,1,0,1,11,1,0,0,1,2.11,2,0,1,0,6,1,3.5,0,1,1,0.0,0.0,0,4,1,False
364,0,2,2,2,3,1,1,0,0,1,0.07,0,33,1,0,0,1,3.0,3,3,2,2.5,0.0,0,1,4,False
365,11,4,2,2,1,0,4,0,42,25,0.03,0,89,2,0,10,2,6.15,0,0,1,1.8,1.0,0,2,3,False
366,0,0,0,0,0,0,1,0,39,0,0.01,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0,3,0,False
367,46,0,5,7,0,0,1,1,11,7,0.0,0,85,1,0,3,2,5.12962962962963,1,1,1,1.78571428571429,0.0,0,3,0,False
368,0,0,2,0,0,7,1,1,5,4,0.63,0,56,2,0,1,1,4.6,1,2,1,1.57142857142857,1.0,0,1,1,False
369,0,1,1,0,0,1,1,0,1,1,0.64,0,0,2,0,3,1,4.5,2,2,1,1.5,0.0,0,4,1,False
370,0,0,1,1,0,0,1,3,14,25,0.05,1,80,1,0,0,1,5.0,0,1,1,0.733333333333333,0.0,0,1,1,False
371,0,0,0,1,0,0,1,0,0,0,0.51,0,0,1,0,0,1,0.0,0,0,0,0.0,0.0,0,4,0,False
372,0,0,1,0,2,0,1,0,0,2,0.52,0,0,1,0,2,1,2.0,2,5,3,2.0,0.0,0,4,1,False
373,0,0,1,4,2,4,1,2,1,4,0.67,0,96,2,0,0,1,3.5,0,1,1,1.125,1.0,0,1,1,False
374,1,0,1,1,3,5,1,0,0,3,1.15,2,50,1,0,7,1,4.25,0,1,1,0.0,0.0,0,4,1,False
375,1,1,1,1,2,1,1,0,0,1,0.35,1,66,1,0,3,1,2.66666666666667,0,1,1,2.6,0.0,0,6,1,False
376,3,0,3,4,3,6,1,0,0,1,0.46,4,43,1,0,7,1,4.5,0,1,1,3.0,0.0,0,5,1,False
377,1,0,3,0,1,1,2,0,1,3,0.21,4,0,3,0,10,1,1.75,0,1,1,2.14285714285714,0.0,0,3,4,False
378,0,0,1,0,0,5,1,0,0,1,1.75,0,0,4,0,3,1,1.0,1,3,2,1.0,0.0,0,2,0,False
379,0,0,1,0,0,0,1,0,0,2,1.78,0,0,2,0,1,1,2.0,2,2,1,0.0,0.0,0,2,0,False
380,0,0,1,0,0,2,1,0,0,1,1.83,0,0,3,0,2,1,1.0,1,6,2,2.0,0.0,0,2,0,False
381,2,0,1,0,0,0,1,0,6,9,0.61,0,93,2,0,0,1,1.0,0,1,1,0.5,0.0,0,2,0,False
382,0,0,1,0,0,6,1,2,1,3,2.85,0,60,1,43,1,1,14.0,2,1,1,0.625,1.0,0,6,1,True
383,1,0,1,0,0,0,1,0,2,3,0.82,0,37,3,0,1,1,2.25,1,2,1,0.833333333333333,0.0,0,1,0,False
384,8,1,2,1,0,0,2,0,5,16,0.22,0,77,2,0,1,2,3.08,0,0,1,1.07142857142857,0.75,0,2,0,True
385,0,0,2,2,0,2,1,2,4,3,0.54,1,73,3,3,1,1,3.2,1,1,1,1.71428571428571,0.5,0,5,2,True
386,0,0,2,0,0,24,1,0,2,3,0.57,2,33,3,0,1,1,4.33333333333333,3,2,1,2.4,1.0,0,2,2,False
387,0,0,1,0,0,0,1,0,0,2,1.05,0,0,2,0,3,1,1.0,1,2,1,0.75,1.0,0,3,1,True
388,0,0,2,1,0,0,1,0,1,4,0.53,0,50,3,0,1,1,2.75,1,2,1,1.5,0.666666666666667,0,3,2,True
389,0,0,2,0,0,5,1,0,2,2,1.39,0,0,3,0,1,1,4.0,4,3,1,1.5,0.5,0,2,4,False
390,0,0,1,0,0,1,1,1,0,1,2.4,0,0,4,1,0,1,2.0,1,2,1,0.0,0.0,0,3,0,False
391,0,0,1,0,0,0,1,0,0,2,1.17,1,0,3,0,1,1,8.0,3,2,1,1.5,1.0,0,5,0,False
392,0,0,1,0,0,1,1,1,0,1,2.9,0,0,5,0,0,1,5.5,1,2,1,0.0,0.0,0,4,0,False
393,0,0,1,0,0,2,1,0,2,6,1.32,0,16,2,0,1,1,3.5,2,1,1,0.625,1.0,0,5,0,False
394,0,0,1,0,0,0,1,0,1,2,1.89,0,0,3,0,2,1,3.0,2,4,1,1.5,1.0,0,5,0,False
395,12,2,5,2,1,2,1,0,6,13,0.42,0,74,1,0,0,1,4.03703703703704,1,1,1,1.51724137931034,1.0,0,2,3,False
396,0,0,1,0,0,0,1,0,0,2,1.0,0,0,2,0,3,1,1.0,1,2,1,0.75,1.0,0,4,0,False
397,0,0,1,0,0,3,1,0,2,8,1.0,0,37,3,7,1,1,2.875,0,1,1,0.5,1.0,0,1,0,False
398,0,0,1,2,0,4,2,0,5,16,1.2,0,73,2,0,8,1,7.25,1,1,1,0.35,0.5,0,5,4,True
399,0,0,1,2,0,3,1,0,0,2,0.74,2,50,3,0,2,1,8.0,4,2,1,2.25,1.0,0,4,0,False
400,0,1,1,0,0,3,1,0,3,9,1.23,0,63,3,0,3,1,4.2,1,1,1,1.0,0.6,0,4,0,True
401,11,3,2,27,9,4,1,0,14,10,0.48,0,92,1,0,1,1,3.5,1,0,1,0.961538461538462,0.666666666666667,0,2,0,True
402,0,0,1,1,0,1,2,0,3,7,0.65,0,42,2,0,6,1,2.14285714285714,1,2,1,0.3,1.0,0,6,1,False
403,0,0,1,1,4,6,1,0,2,11,1.47,0,75,3,0,2,1,7.81818181818182,1,1,1,0.769230769230769,0.5,0,5,1,False
404,0,0,1,0,0,0,1,0,1,2,2.21,0,0,3,0,2,1,6.0,4,3,1,0.0,1.0,0,1,0,False
405,1,0,1,2,0,4,1,0,8,25,1.14,0,80,1,0,1,2,14.8846153846154,2,1,1,0.571428571428571,0.4,0,5,3,False
406,0,0,1,0,0,1,1,1,1,1,2.27,0,0,2,44,0,1,23.0,2,1,1,0.0,1.0,0,3,2,False
